mapping_idx,drugbank_id,mapping_name,normalized_name,core_name,stemmed_core
470,DB04851,Biricodar dicitrate,biricodar dicitrate,biricodar dicitrate,biricodar dicitr
505,DB00963,Bromfenac,bromfenac,bromfenac,bromfenac
473,DB00258,Calcium Acetate,calcium acetate,,
474,DB01164,Calcium Chloride,calcium chloride,,
478,DB00326,Calcium Gluceptate,calcium gluceptate,gluceptate,glucept
667,DB01197,Captopril,captopril,captopril,captopril
515,DB00190,Carbidopa,carbidopa,carbidopa,carbidopa
511,DB06775,Carglumic Acid,carglumic acid,carglumic acid,carglum
362,DB00395,Carisoprodol,carisoprodol,carisoprodol,carisoprodol
732,DB00535,Cefdinir,cefdinir,cefdinir,cefdinir
627,DB01416,Cefpodoxime,cefpodoxime,cefpodoxime,cefpodoxime
681,DB01112,Cefuroxime,cefuroxime,cefuroxime,cefuroxime
607,DB06777,Chenodeoxycholic acid,chenodeoxycholic acid,chenodeoxycholic acid,chenodeoxychol
385,DB01494,Chloral betaine,chloral betaine,chloral betaine,chloral betaine
96,DB03681,Chloro Diiron-Oxo Moiety,chloro diiron-oxo moiety,chloro diiron-oxo moiety,chloro diiron-oxo moiety
753,DB00477,Chlorpromazine,chlorpromazine,chlorpromazine,chlorpromazine
271,DB00310,Chlorthalidone,chlorthalidone,chlorthalidone,chlorthalidone
531,DB00515,Cisplatin,cisplatin,cisplatin,cisplatin
471,DB04272,Citric Acid,citric acid,citric acid,citr
522,DB00720,Clodronate,clodronate,clodronate,clodron
738,DB00318,Codeine,codeine,codeine,codeine
508,DB01111,Colistimethate,colistimethate,colistimethate,colistimeth
566,DB00091,Cyclosporine,cyclosporine,cyclosporine,cyclosporine
279,DB00847,Cysteamine,cysteamine,cysteamine,cysteamine
687,DB01638,D-Sorbitol,d-sorbitol,d-sorbitol,d-sorbitol
521,DB00970,Dactinomycin,dactinomycin,dactinomycin,dactinomycin
416,DB06637,Dalfampridine,dalfampridine,dalfampridine,dalfampridine
156,DB08826,Deferiprone,deferiprone,deferiprone,deferiprone
755,DB04485,Deoxythymidine,deoxythymidine,deoxythymidine,deoxythymidine
731,DB01151,Desipramine,desipramine,desipramine,desipramine
81,DB03034,Dextrofloxacine,dextrofloxacine,dextrofloxacine,dextrofloxacine
680,DB00271,Diatrizoate,diatrizoate,diatrizoate,diatrizo
131,DB00804,Dicyclomine,dicyclomine,dicyclomine,dicyclomine
464,DB00861,Diflunisal,diflunisal,diflunisal,diflunisal
498,DB02831,Dihydrogenphosphate Ion,dihydrogenphosphate ion,dihydrogenphosphate ion,dihydrogenphosph ion
506,DB00280,Disopyramide,disopyramide,disopyramide,disopyram
746,DB05314,DN-101,dn-101,dn-101,dn-101
492,DB03756,"Docosa-4,7,10,13,16,19-Hexaenoic Acid",docosa-4 7 10 13 16 19-hexaenoic acid,docosa-4 7 10 13 16 19-hexaenoic acid,docosa-4 7 10 13 16 19-hexaeno
491,DB00632,Docosanol,docosanol,docosanol,docosanol
481,DB01184,Domperidone,domperidone,domperidone,domperidone
638,DB00869,Dorzolamide,dorzolamide,dorzolamide,dorzolam
734,DB00366,Doxylamine,doxylamine,doxylamine,doxylamine
513,DB01126,Dutasteride,dutasteride,dutasteride,dutaster
526,DB01084,Emedastine,emedastine,emedastine,emedastine
229,DB01225,Enoxaparin,enoxaparin,enoxaparin,enoxaparin
529,DB00751,Epinastine,epinastine,epinastine,epinastine
312,DB04933,Eritoran,eritoran,eritoran,eritoran
754,DB08866,Estradiol valerate/Dienogest,estradiol valerate dienogest,estradiol valerate dienogest,estradiol valer dienogest
714,DB04573,Estriol,estriol,estriol,estriol
640,DB04574,Estropipate,estropipate,estropipate,estropip
497,DB03994,Ethanolamine,ethanolamine,ethanolamine,ethanolamine
495,DB06689,Ethanolamine Oleate,ethanolamine oleate,ethanolamine oleate,ethanolamine ole
662,DB00977,Ethinyl Estradiol,ethinyl estradiol,ethinyl estradiol,ethinyl estradiol
284,DB01077,Etidronic acid,etidronic acid,etidronic acid,etidron
181,DB00749,Etodolac,etodolac,etodolac,etodolac
225,DB01628,Etoricoxib,etoricoxib,etoricoxib,etoricoxib
