adr_term,adr_synonyms,meddra_code,adr_term_lower
Astrocytoma malignant,"Anaplastic astrocytoma | Astrocytoma malignant NOS | Cerebellar astrocytoma | Cerebral astrocytoma, high grade | Astrocytoma malignant | Anaplastic pleomorphic xanthoastrocytoma | High grade astrocytoma with piloid features | High grade pleomorphic xanthoastrocytoma | IDH-mutant astrocytoma with homozygous CDK2NA/B deletion | Astrocytoma | Astrocytomas | Astroglioma | Astrogliomas | Glioma, Astrocytic | Astrocytic Glioma | Astrocytic Gliomas | Gliomas, Astrocytic | Astrocytoma, Grade I | Astrocytomas, Grade I | Grade I Astrocytoma | Grade I Astrocytomas | Astrocytoma, Grade II | Astrocytomas, Grade II | Grade II Astrocytoma | Grade II Astrocytomas | Astrocytoma, Protoplasmic | Astrocytomas, Protoplasmic | Protoplasmic Astrocytoma | Protoplasmic Astrocytomas | Astrocytoma, Subependymal Giant Cell | Subependymal Giant Cell Astrocytoma | Pilocytic Astrocytoma | Astrocytoma, Pilocytic | Astrocytomas, Pilocytic | Pilocytic Astrocytomas | Childhood Cerebral Astrocytoma | Astrocytoma, Childhood Cerebral | Astrocytomas, Childhood Cerebral | Cerebral Astrocytoma, Childhood | Cerebral Astrocytomas, Childhood | Childhood Cerebral Astrocytomas | Fibrillary Astrocytoma | Astrocytoma, Fibrillary | Astrocytomas, Fibrillary | Fibrillary Astrocytomas | Gemistocytic Astrocytoma | Astrocytoma, Gemistocytic | Astrocytomas, Gemistocytic | Gemistocytic Astrocytomas | Intracranial Astrocytoma | Astrocytoma, Intracranial | Astrocytomas, Intracranial | Intracranial Astrocytomas | Juvenile Pilocytic Astrocytoma | Astrocytoma, Juvenile Pilocytic | Astrocytomas, Juvenile Pilocytic | Juvenile Pilocytic Astrocytomas | Pilocytic Astrocytoma, Juvenile | Pilocytic Astrocytomas, Juvenile | Oligoastrocytoma, Mixed | Mixed Oligoastrocytoma | Mixed Oligoastrocytomas | Oligoastrocytomas, Mixed | Anaplastic Astrocytoma | Anaplastic Astrocytomas | Astrocytoma, Anaplastic | Astrocytomas, Anaplastic | Astrocytoma, Grade III | Astrocytomas, Grade III | Grade III Astrocytoma | Grade III Astrocytomas | Cerebral Astrocytoma | Astrocytoma, Cerebral | Astrocytomas, Cerebral | Cerebral Astrocytomas",10060971,astrocytoma malignant
Gliomatosis cerebri,"Gliomatosis cerebri | Neoplasms, Neuroepithelial | Neuroepithelial Tumors | Neuroepithelial Tumor | Tumor, Neuroepithelial | Tumors, Neuroepithelial | Neuroepithelial Neoplasms | Neoplasm, Neuroepithelial | Neuroepithelial Neoplasm | Spongioblastoma, Polar | Polar Spongioblastoma | Polar Spongioblastomas | Spongioblastomas, Polar | Gliomatosis Cerebri | Astroblastoma | Astroblastomas | Ependymoastrocytoma | Ependymoastrocytomas",10066254,gliomatosis cerebri
Gliosarcoma,"Gliosarcoma | Gliosarcomas | Glioblastoma with Sarcomatous Component | Sarcomatous Glioma | Glioma, Sarcomatous | Gliomas, Sarcomatous | Sarcomatous Gliomas",10018340,gliosarcoma
Malignant oligodendroglioma,"Malignant oligodendroglioma | Oligodendroglioma malignant | Anaplastic oligodendroglioma | IDH-mutant and 1p/19q co-deleted oligodendroglioma | Oligodendroglioma | Oligodendrogliomas | Mixed Oligodendroglioma-Astrocytoma | Mixed Oligodendroglioma Astrocytoma | Mixed Oligodendroglioma-Astrocytomas | Oligodendroglioma-Astrocytoma, Mixed | Oligodendroglioma-Astrocytomas, Mixed | Mixed Oligodendroglioma-Ependymoma | Mixed Oligodendroglioma Ependymoma | Mixed Oligodendroglioma-Ependymomas | Oligodendroglioma-Ependymoma, Mixed | Oligodendroglioma-Ependymomas, Mixed | Oligodendroglioma, Adult | Adult Oligodendroglioma | Adult Oligodendrogliomas | Oligodendrogliomas, Adult | Oligodendroglioma, Childhood | Childhood Oligodendroglioma | Childhood Oligodendrogliomas | Oligodendrogliomas, Childhood | Oligodendroglioma, Well-Differentiated | Oligodendroglioma, Well Differentiated | Oligodendrogliomas, Well-Differentiated | Well-Differentiated Oligodendrogliomas | Well-Differentiated Oligodendroglioma | Well Differentiated Oligodendroglioma | Anaplastic Oligodendroglioma | Anaplastic Oligodendrogliomas | Oligodendroglioma, Anaplastic | Oligodendrogliomas, Anaplastic | Oligodendroblastoma | Oligodendroblastomas",10026659,malignant oligodendroglioma
Oligoastrocytoma,"Mixed astrocytoma-ependymoma | Mixed astrocytoma-oligodendroglioma | Mixed oligo-astrocytoma | Oligoastrocytoma | Mixed glioma | Glioma | Gliomas | Glial Cell Tumors | Glial Cell Tumor | Tumor, Glial Cell | Tumors, Glial Cell | Mixed Glioma | Glioma, Mixed | Gliomas, Mixed | Mixed Gliomas | Malignant Glioma | Glioma, Malignant | Gliomas, Malignant | Malignant Gliomas",10073131,oligoastrocytoma
Nervous system neoplasms malignant NEC,Not Available,10029212,nervous system neoplasms malignant nec
Neuroblastoma,Neuroblastoma | Neuroblastoma NOS | Neuroblastomas,10029260,neuroblastoma
Malignant nervous system neoplasm,"Malignant neoplasm of nervous system, part unspecified | Malignant neoplasm of other and unspecified parts of nervous system | Malignant neoplasm of other specified sites of nervous system | Malignant nervous system neoplasm NOS | Malignant nervous system neoplasm",10061268,malignant nervous system neoplasm
Neonatal neuroblastoma,Neonatal neuroblastoma,10049793,neonatal neuroblastoma
Neuroblastoma recurrent,Neuroblastoma recurrent,10066595,neuroblastoma recurrent
Central nervous system neoplasms malignant NEC,Not Available,10007960,central nervous system neoplasms malignant nec
Brain cancer metastatic,Brain cancer metastatic,10055093,brain cancer metastatic
Brain neoplasm malignant,"Brain neoplasm malignant | Carcinoma brain | Malignant brain neoplasm NOS | Malignant neoplasm of brain | Malignant neoplasm of brain stem | Malignant neoplasm of brain, unspecified | Malignant neoplasm of cerebellum | Malignant neoplasm of cerebellum NOS | Malignant neoplasm of cerebrum, except lobes and ventricles | Malignant neoplasm of frontal lobe | Malignant neoplasm of occipital lobe | Malignant neoplasm of other parts of brain | Malignant neoplasm of parietal lobe | Malignant neoplasm of temporal lobe | Malignant neoplasm of ventricles | Malignant neoplasm of cerebrum, excl lobes and ventricles",10006131,brain neoplasm malignant
Malignant neoplasm of spinal cord,Malignant neoplasm of spinal cord | Malignant spinal cord neoplasm NOS,10026472,malignant neoplasm of spinal cord
Meningiomas malignant,Not Available,10027196,meningiomas malignant
Intracranial meningioma malignant,Intracranial meningioma malignant | Malignant cerebral meningioma,10022770,intracranial meningioma malignant
"Pregnancy, puerperium and perinatal conditions",Not Available,10036585,"pregnancy, puerperium and perinatal conditions"
Abortions and stillbirth,Not Available,10000211,abortions and stillbirth
Abortions not specified as induced or spontaneous,Not Available,10000232,abortions not specified as induced or spontaneous
Abortion,"Abortion | Abortion complete incomplete missed etc | Abortion NOS | Unspecified abortion | Unspecified abortion without mention of complication | Unspecified type of abortion, unspecified, without mention of complication | Abortion complete incomplete missed etc.",10000210,abortion
Abortion missed,"Abortion missed | Masceration | Missed abortion | Papyraceous fetus | Papyraceous fetus, antepartum | Papyraceous fetus, delivered, with or without mention of antepartum condition | Papyraceous fetus, unspecified as to episode of care | Papyraceous foetus | Papyraceous foetus, antepartum | Abortion, Missed | Abortions, Missed | Missed Abortion | Missed Abortions",10000230,abortion missed
Abortion incomplete,"Abortion incomplete | Abortion incomplete NOS | Incomplete abortion | Unspecified abortion, incomplete, without mention of complication | Abortion, Incomplete | Abortions, Incomplete | Incomplete Abortion | Incomplete Abortions",10000217,abortion incomplete
Abortion late,Abortion late,10052847,abortion late
Abortion of ectopic pregnancy,"Tubal abortion | Abortion of ectopic pregnancy | Abortion, Spontaneous | Abortions, Spontaneous | Spontaneous Abortions | Spontaneous Abortion | Early Pregnancy Loss | Early Pregnancy Losses | Loss, Early Pregnancy | Losses, Early Pregnancy | Pregnancy Loss, Early | Pregnancy Losses, Early | Miscarriage | Miscarriages | Abortion, Tubal | Abortions, Tubal | Tubal Abortion | Tubal Abortions",10066266,abortion of ectopic pregnancy
Abortion early,Abortion early,10052846,abortion early
Stillbirth and foetal death,Not Available,10053173,stillbirth and foetal death
Stillbirth,Stillbirth | Stillbirth NOS | Pregnancy loss >20 weeks | Stillbirths,10042062,stillbirth
Foetal death,"Dead foetus | Death fetal | Death foetal | Death intrauterine | Fetal death | Fetal death from asphyxia or anoxia before onset of labor or at unspecified time | Fetal death from asphyxia or anoxia before onset of labour or at unspecified time | Fetal death from asphyxia or anoxia during labor | Fetal death from asphyxia or anoxia during labour | Fetal death in utero | Fetus macerated | Foetus macerated | Intra-uterine death | Intrauterine death affecting management of mother | Intrauterine death, affecting management of mother, antepartum | Intrauterine death, affecting management of mother, delivered | Intrauterine death, affecting management of mother, unspecified as to episode of care | Other multiple pregnancy with fetal loss and retention of one or more fetus(es) | Quad preg with fetal loss and reten of one or more fetus, deliv, with or w/o ment of antepart cond | Quad preg with fetal loss and retention of one or more fetus, antepart cond or comp | Quad preg with fetal loss and retention of one or more fetus, unspec as to eoc or not appli | Quadruplet pregnancy with fetal loss and retention of one or more fetus(es) | Trip preg with fetal loss and reten of one or more fetus, deliv, with or w/o ment of antepart cond | Triplet preg with fetal loss and retention of one or more fetus, antepart cond or comp | Triplet preg with fetal loss and retention of one or more fetus, unspec as to eoc or not appli | Triplet pregnancy with fetal loss and retention of one or more fetus(es) | Twin preg with fetal loss and retention of one fetus,delivered, with or w/o mention of antepart cond | Twin pregnancy with fetal loss and retention of one fetus, antepartum condition or complication | Twin pregnancy with fetal loss and retention of one fetus, unspec as to eoc or not appli | Foetal death | Foetal death in utero | Foetal death from asphyxia or anoxia during labour | Dead fetus | Double fetal death in twin pregnancy | Multiple pregnancy with fetal deaths in utero | Double foetal death in twin pregnancy | Single fetal death in twin pregnancy | Single foetal death in twin pregnancy | Multiple pregnancy with foetal deaths in utero | Early fetal death | Fetal demise | Late fetal death | Early foetal death | Foetal demise | Late foetal death | Fetal resorption | Foetal resorption | Intrapartum foetal death | Intrapartum fetal death | Fetal Death | Death, Fetal | Deaths, Fetal | Fetal Deaths | Fetal Demise | Demise, Fetal | Fetal Mummification | Mummification, Fetal",10055690,foetal death
Vanishing twin syndrome,Twin pregnancy with fetal loss and retention of one fetus | Twin pregnancy with foetal loss and retention of one foetus | Vanishing twin syndrome,10071398,vanishing twin syndrome
Abortion related conditions and complications,Not Available,10000233,abortion related conditions and complications
Abortion infected,"Abortion infected | Abortion infective | Infected abortion | Infected abortion (spontaneous) | Septic abortion | Abortion, Septic | Abortions, Septic | Septic Abortions | Septic Abortion",10000228,abortion infected
Post abortion haemorrhage,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancies | Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies | Post abortion haemorrhage | Post abortion hemorrhage | Post abortion bleeding,10036246,post abortion haemorrhage
Retained products of conception,Retained products of conception,10038773,retained products of conception
Anembryonic gestation,Blighted ovum | Anembryonic gestation,10079814,anembryonic gestation
Post abortion complication,Complications following abortion and ectopic and molar pregnancies | Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancies | Other specified complications following abortion and ectopic and molar pregnancies | Post abortion complication | Post abortion complication NOS | Unspecified complication following abortion and ectopic and molar pregnancies,10036244,post abortion complication
Abortions spontaneous,Not Available,10000235,abortions spontaneous
Abortion spontaneous,"Abortion spontaneous | Abortion spontaneous NOS | Miscarriage | Miscarriage of pregnancy | Spontaneous abortion | Spontaneous abortion without mention of complication | Spontaneous abortion, unspecified, without mention of complication | Pregnancy loss | Early miscarriage | Late miscarriage | Pregnancy loss <20 weeks gestation | Embryo demise | Abortion, Spontaneous | Abortions, Spontaneous | Spontaneous Abortions | Spontaneous Abortion | Early Pregnancy Loss | Early Pregnancy Losses | Loss, Early Pregnancy | Losses, Early Pregnancy | Pregnancy Loss, Early | Pregnancy Losses, Early | Miscarriages | Abortion, Tubal | Abortions, Tubal | Tubal Abortion | Tubal Abortions",10000234,abortion spontaneous
Abortion spontaneous incomplete,Abortion spontaneous incomplete NOS | Abortion spontaneous incomplete,10061617,abortion spontaneous incomplete
Abortion threatened,"Abortion threatened | Threatened abortion | Threatened abortion, antepartum | Threatened abortion, delivered | Threatened abortion, unspecified as to episode of care | Abortion, Threatened | Threatened Abortion | Threatened Abortions | Threatened Miscarriage | Miscarriage, Threatened | Threatened Miscarriages",10000242,abortion threatened
Habitual abortion,"Habitual abortion (spontaneous) | Recurrent abortion | Habitual abortion | Recurrent pregnancy loss | Abortion, Habitual | Habitual Abortion | Habitual Abortions | Miscarriage, Recurrent | Recurrent Miscarriage | Recurrent Miscarriages | Abortion, Recurrent | Recurrent Abortion | Recurrent Abortions | Recurrent Early Pregnancy Loss",10062935,habitual abortion
Imminent abortion,Inevitable abortion | Imminent abortion | Incipient abortion,10051459,imminent abortion
Maternal complications of pregnancy,Not Available,10026908,maternal complications of pregnancy
Haemorrhagic complications of pregnancy,Not Available,10019006,haemorrhagic complications of pregnancy
Haemorrhage in pregnancy,"Antepartum haemorrhage | Antepartum haemorrhage associated with coagulation defects | Antepartum haemorrhage, abruptio placentae, and placenta praevia | Antepartum hemorrhage associated with coagulation defect, antepartum | Antepartum hemorrhage associated with coagulation defects | Antepartum hemorrhage associated with coagulation defects, unspecified as to episode of care | Antepartum hemorrhage associated with coagulation defects, with delivery | Antepartum hemorrhage, abruptio placentae, and placenta previa | Haemorrhage in early pregnancy | Haemorrhage in early pregnancy, unspecified | Haemorrhage in pregnancy | Hemorrhage in early pregnancy | Hemorrhage of pregnancy | Hemorrhage placental | Hemorrhage pregnancy | Other antepartum haemorrhage | Other antepartum hemorrhage | Other antepartum hemorrhage, antepartum | Other antepartum hemorrhage, unspecified as to episode of care | Other antepartum hemorrhage, with delivery | Other forms of placental separation and haemorrhage affecting fetus or newborn | Other forms of placental separation and hemorrhage affecting fetus or newborn | Other specified haemorrhage in early pregnancy | Other specified hemorrhage in early pregnancy | Other specified hemorrhage in early pregnancy, antepartum | Other specified hemorrhage in early pregnancy, delivered | Other specified hemorrhage in early pregnancy, unspecified as to episode of care | Unspecified antepartum haemorrhage | Unspecified antepartum hemorrhage | Unspecified antepartum hemorrhage, antepartum | Unspecified antepartum hemorrhage, unspecified as to episode of care | Unspecified antepartum hemorrhage, with delivery | Unspecified haemorrhage in early pregnancy | Unspecified hemorrhage in early pregnancy | Unspecified hemorrhage in early pregnancy, antepartum | Unspecified hemorrhage in early pregnancy, delivered | Unspecified hemorrhage in early pregnancy, unspecified as to episode of care | Antepartum hemorrhage | Hemorrhage in early pregnancy, unspecified | Haemorrhage of pregnancy | Haemorrhage placental | Haemorrhage pregnancy | Unspecified antepartum haemorrhage, antepartum | Unspecified antepartum haemorrhage, unspecified as to episode of care | Unspecified antepartum haemorrhage, with delivery | Unspecified haemorrhage in early pregnancy, antepartum | Unspecified haemorrhage in early pregnancy, delivered | Unspecified haemorrhage in early pregnancy, unspecified as to episode of care | Hemorrhage in pregnancy | Antepartum bleeding | Antenatal bleeding",10018981,haemorrhage in pregnancy
Premature separation of placenta,"Abruptio placentae | Premature separation of placenta | Premature separation of placenta, antepartum | Premature separation of placenta, unspecified as to episode of care | Premature separation of placenta, with delivery | Premature placental detachment | Couvelaire uterus | Uteroplacental apoplexy | Abruptio Placentae | Placental Abruption | Abruption, Placental | Abruptions, Placental | Placental Abruptions",10036608,premature separation of placenta
Placenta praevia haemorrhage,"Haemorrhage from placenta praevia | Haemorrhage from placenta previa | Hemorrhage from placenta previa | Hemorrhage from placenta previa, antepartum | Hemorrhage from placenta previa, unspecified as to episode of care | Hemorrhage from placenta previa, with delivery | Placenta praevia haemorrhage | Placenta praevia hemorrhage | Haemorrhage from placenta praevia, antepartum | Haemorrhage from placenta praevia, unspecified as to episode of care | Haemorrhage from placenta praevia, with delivery | Placenta previa hemorrhage | Placenta praevia bleeding",10035121,placenta praevia haemorrhage
Retroplacental haematoma,Retroplacental haematoma | Retroplacental hematoma,10054798,retroplacental haematoma
Subchorionic haemorrhage,Subchorionic haemorrhage | Subchorionic hemorrhage | Subchorionic bleeding,10071010,subchorionic haemorrhage
