adr_term,adr_synonyms,meddra_code,adr_term_lower
Acute febrile neutrophilic dermatosis,"Acute febrile neutrophilic dermatosis | Sweet syndrome | Sweet's syndrome | Histiocytoid Sweet syndrome | Sweet Syndrome | Syndrome, Sweet | Dermatosis, Neutrophilic, Febrile, Acute | Gomm-Button Disease | Disease, Gomm-Button | Sweet's Syndrome | Sweets Syndrome | Syndrome, Sweet's | Gomm Button Disease | Disease, Gomm Button | Acute Febrile Neutrophilic Dermatosis | Neutrophilic Dermatosis, Acute Febrile",10000748,acute febrile neutrophilic dermatosis
Infectious mononucleosis,"Glandular fever | Infectious mononucleosis | Mononculeosis infectious | Mononucleosis infectious | Mononucleosis | Pfeiffer's disease | Kissing disease | Infectious Mononucleosis | Glandular Fever | Fever, Glandular | Mononucleosis, Infectious",10021914,infectious mononucleosis
Granulocytosis,Granulocytosis,10018690,granulocytosis
Basophilia,Basophilia | Basophilic granulocytosis,10004173,basophilia
Jessner's lymphocytic infiltration,Jessner's lymphocytic infiltration,10063628,jessner's lymphocytic infiltration
Leukostasis syndrome,"Leukostasis | Pulmonary leukostasis | Leukostasis syndrome | Hyperleukocytic syndrome | Leukostases | Leukostasis Syndrome | Leukostasis Syndromes | Syndrome, Leukostasis | Syndromes, Leukostasis",10074608,leukostasis syndrome
Lymphocytic infiltration,Lymphocytic infiltrates NOS | Lymphocytic infiltration,10062049,lymphocytic infiltration
Neutrophilic dermatosis,Neutrophilic dermatosis | Neutrophilic folliculitis,10058105,neutrophilic dermatosis
Pseudomononucleosis,Pseudo monomucleosis | Pseudo mononucleosis | Pseudomononucleosis,10058008,pseudomononucleosis
Bandaemia,Bandaemia | Bandemia,10072081,bandaemia
Plasmacytosis,Plasmacytosis | Plasmocytosis | Plasmocytosis circumorificialis,10035485,plasmacytosis
Hyperleukocytosis,Hyperleukocytosis,10078862,hyperleukocytosis
Monoclonal B-cell lymphocytosis,Monoclonal B-cell lymphocytosis,10074668,monoclonal b-cell lymphocytosis
Myelocytosis,Myelocytosis | Myelemia | Myelaemia,10051809,myelocytosis
Leukopenias NEC,Not Available,10024385,leukopenias nec
Leukopenia,Leucopenia | Leukopenia NOS | Leukopenia | Leukocytopenia | Leucocytopenia | Leukopenias | Leukocytopenias,10024384,leukopenia
Lymphopenia,Lymphocytopenia | Lymphopenia | Prolonged lymphopenia | Lymphopenias | Lymphocytopenias,10025327,lymphopenia
Eosinopenia,Eosinopenia | Hypoeosinophilia,10014940,eosinopenia
Monocytopenia,Monocytopenia,10027905,monocytopenia
B-cell aplasia,B-cell aplasia,10080721,b-cell aplasia
Neutropenias,Neutropenia | Neutropenias,10029355,neutropenias
Agranulocytosis,Agranulocytic angina | Agranulocytosis | Angina agranulocytic | Neutropenia malignant | Acute agranulocytosis | Agranulocytoses | Granulocytopenia | Granulocytopenias,10001507,agranulocytosis
Febrile neutropenia,"Febrile neutropenia | Neutropenic fever | Febrile Neutropenia | Febrile Neutropenias | Neutropenia, Febrile | Neutropenias, Febrile",10016288,febrile neutropenia
Granulocytopenia,Granulocytopenia | Granulocytopenia severe | Agranulocytosis | Agranulocytoses | Granulocytopenias,10018687,granulocytopenia
Neutropenia,Neutropenia | Neutropenia aggravated | Chronic neutropenia | Late onset neutropenia | Chemotherapy induced neutropenia | Prolonged neutropenia | Neutropenias,10029354,neutropenia
Idiopathic neutropenia,Idiopathic neutropenia,10051645,idiopathic neutropenia
Neutropenic sepsis,Neutropenic sepsis,10049151,neutropenic sepsis
Cyclic neutropenia,Cyclic neutropenia,10053176,cyclic neutropenia
Neutropenic infection,Neutropenic infection,10059482,neutropenic infection
Neutropenic colitis,"Neutropenic enterocolitis | Neutropenic colitis | Neutropenic typhlitis | Enterocolitis, Neutropenic | Neutropenic Enterocolitis | Ileocecal Syndrome | Syndrome, Ileocecal",10062959,neutropenic colitis
Infantile genetic agranulocytosis,Infantile genetic agranulocytosis | Kostmann's syndrome | Congenital neutropenia,10052210,infantile genetic agranulocytosis
Autoimmune neutropenia,Autoimmune neutropenia,10055128,autoimmune neutropenia
Benign ethnic neutropenia,Benign ethnic neutropenia,10074832,benign ethnic neutropenia
Granulocytopenia neonatal,Granulocytopenia neonatal,10018688,granulocytopenia neonatal
Neutropenia neonatal,Neutropenia neonatal | Transient neonatal neutropenia,10029358,neutropenia neonatal
Felty's syndrome,"Felty's syndrome | Felty Syndrome | Syndrome, Felty | Felty's Syndrome | Feltys Syndrome | Syndrome, Felty's | Familial Felty's Syndrome | Familial Feltys Syndrome | Felty's Syndrome, Familial | Syndrome, Familial Felty's | Rheumatoid Arthritis, Splenomegaly and Neutropenia | Familial Felty Syndrome | Felty Syndrome, Familial | Syndrome, Familial Felty",10016386,felty's syndrome
Eosinophilic disorders,Not Available,10052828,eosinophilic disorders
Eosinophilia,"Eosinophilia | Eosinophilia (excl pulmonary) | Eosinophilic granulocytosis | Hypereosinophilia | Eosinophilic infiltration | Eosinophilias | Eosinophilia, Tropical | Eosinophilias, Tropical | Tropical Eosinophilias | Tropical Eosinophilia",10014950,eosinophilia
Eosinophilic pneumonia,"Carrington's pneumonia | Eosinophilic pneumonia | Pneumonia eosinophilic | Pulmonary Eosinophilia | Eosinophilias, Pulmonary | Pulmonary Eosinophilias | Eosinophilia, Pulmonary | Simple Pulmonary Eosinophilia | Pulmonary Eosinophilia, Simple | Simple Pulmonary Eosinophilias | Loeffler Syndrome | Syndrome, Loeffler | Tropical Eosinophilic Pneumonia | Eosinophilic Pneumonia, Tropical | Eosinophilic Pneumonias, Tropical | Tropical Eosinophilic Pneumonias | Pneumonia, Eosinophilic | Eosinophilic Pneumonias | Pneumonias, Eosinophilic | Eosinophilic Pneumonia",10014962,eosinophilic pneumonia
Eosinophilic pneumonia acute,Eosinophilic pneumonia acute | Pneumonia eosinophilic acute,10052832,eosinophilic pneumonia acute
Hypereosinophilic syndrome,"Hypereosinophilic syndrome | Hypereosinophilic Syndrome | Hypereosinophilic Syndromes | Syndrome, Hypereosinophilic | Syndromes, Hypereosinophilic | Leukemia, Eosinophilic | Eosinophilic Leukemia | Eosinophilic Leukemias | Leukemias, Eosinophilic | Loeffler's Endocarditis | Loefflers Endocarditis | Endocarditis, Loeffler's | Endocarditis, Loefflers | Loeffler Endocarditis | Endocarditis, Loeffler | Idiopathic Hypereosinophilic Syndrome | Hypereosinophilic Syndromes, Idiopathic | Idiopathic Hypereosinophilic Syndromes | Syndrome, Idiopathic Hypereosinophilic | Syndromes, Idiopathic Hypereosinophilic | Hypereosinophilic Syndrome, Idiopathic",10048643,hypereosinophilic syndrome
Pulmonary eosinophilia,"PIE syndrome | Pulmonary eosinophilia | Pulmonary infiltration eosinophilic | Pulmonary Eosinophilia | Eosinophilias, Pulmonary | Pulmonary Eosinophilias | Eosinophilia, Pulmonary | Simple Pulmonary Eosinophilia | Pulmonary Eosinophilia, Simple | Simple Pulmonary Eosinophilias | Loeffler Syndrome | Syndrome, Loeffler | Tropical Eosinophilic Pneumonia | Eosinophilic Pneumonia, Tropical | Eosinophilic Pneumonias, Tropical | Tropical Eosinophilic Pneumonias | Pneumonia, Eosinophilic | Eosinophilic Pneumonias | Pneumonias, Eosinophilic | Eosinophilic Pneumonia",10037382,pulmonary eosinophilia
Eosinophilic myocarditis,Eosinophilic myocarditis | Myocarditis eosinophilic | Acute necrotising eosinophilic myocarditis | Acute necrotizing eosinophilic myocarditis,10014961,eosinophilic myocarditis
Loeffler's syndrome,Loeffler's syndrome,10024794,loeffler's syndrome
Eosinophilic fasciitis,Eosinophilic fasciitis | Fasciitis eosinophilic,10014954,eosinophilic fasciitis
Eosinophilic pustular folliculitis,Eosinophilic folliculitis | Eosinophilic pustular folliculitis,10052834,eosinophilic pustular folliculitis
Eosinophilic cystitis,Eosinophilic cystitis,10056246,eosinophilic cystitis
Hepatic infiltration eosinophilic,Hepatic infiltration eosinophilic,10064668,hepatic infiltration eosinophilic
Eosinophilic colitis,Eosinophilic colitis,10057271,eosinophilic colitis
Eosinophilic oesophagitis,"Eosinophilic oesophagitis | Eosinophilic esophagitis | Eosinophilic oesophagitis flare | Eosinophilic esophagitis flare | Eosinophilic Esophagitis | Eosinophilic Esophagitides | Esophagitides, Eosinophilic | Chronic Esophagitis, Eosinophilic | Chronic Esophagitides, Eosinophilic | Eosinophilic Chronic Esophagitides | Eosinophilic Chronic Esophagitis | Esophagitides, Eosinophilic Chronic | Esophagitis, Eosinophilic Chronic | Esophagitis, Eosinophilic",10064212,eosinophilic oesophagitis
Eosinophilic pneumonia chronic,Eosinophilic pneumonia chronic | Pneumonia eosinophilic chronic,10052833,eosinophilic pneumonia chronic
Gastroenteritis eosinophilic,Gastroenteritis eosinophilic,10017902,gastroenteritis eosinophilic
Allergic eosinophilia,Allergic eosinophilia,10075185,allergic eosinophilia
Eosinophilic bronchitis,Eosinophilic bronchitis,10065563,eosinophilic bronchitis
Eosinophilic cellulitis,Eosinophilic cellulitis | Wells syndrome | Eosinophilic dermatitis,10053776,eosinophilic cellulitis
