idx,se_name,se_text
205,Colitis,"Colitis. Also known as: Caecal inflammation, Caecitis, Cecitis"
206,Abdominal pain upper,"Abdominal pain upper. Also known as: Abdominal pain peptic ulcer type, Abdominal pain upper, Ache stomach"
207,Delirium,"Delirium. Also known as: Acute brain syndrome, Acute delirium, Brain syndrome acute"
208,Torsade de pointes,"Torsade de pointes. Also known as: Torsade de pointes, Torsades de pointes, TdP ventricular tachycardia"
209,Aplastic anaemia,"Aplastic anaemia. Also known as: Aleukia hemorrhagica, Anaemia aplastic, Anaemia aplastic aregenerative"
210,Vaginal inflammation,Vaginal inflammation
211,Injury,"Injury. Also known as: Accidental injury, Adult maltreatment syndrome, Certain early complications of trauma"
212,Muscle twitching,"Muscle twitching. Also known as: Muscle twitch, Muscle twitching, Twitch skeletal muscle"
213,Thinking abnormal,"Thinking abnormal. Also known as: Abnormal thinking, Irrational, Thinking abnormal"
214,Extrapyramidal disorder,"Extrapyramidal disorder. Also known as: Benign shuddering attacks, Drug-induced extrapyramidal side effects, Extrapyramidal disorder"
215,Melaena,"Melaena. Also known as: Blood clot excretion, Melaena, Melena"
216,Dysarthria,"Dysarthria. Also known as: Dysarthria, Inarticulateness, Slurred speech"
217,Visual impairment,"Visual impairment. Also known as: Abnormal retinal correspondence, Abnormal vision, Abnormal vision NOS"
218,Haemolytic anaemia,"Haemolytic anaemia. Also known as: Acquired haemolytic anaemia, Acquired haemolytic anaemia, unspecified, Acquired haemolytic anaemias"
219,Dysmenorrhoea,"Dysmenorrhoea. Also known as: Cramps menstrual, Dysmenorrhea, Dysmenorrhoea"
220,Flat affect,"Flat affect. Also known as: Affect lack, Affect loss, Detachment emotional"
221,Diabetes mellitus,"Diabetes mellitus. Also known as: Diabetes, Diabetes mellitus, Diabetes mellitus aggravated"
222,Oesophagitis,"Oesophagitis. Also known as: Esophagitis, Esophagitis aggravated, Esophagitis, unspecified"
223,Phlebitis,"Phlebitis. Also known as: Oth phlebitis and thrombosis complicating pregnancy and the puerperium, unspec as to eoc, Other antepartum phlebitis and thrombosis, Other phlebitis and thrombosis in pregnancy and the puerperium"
224,Abdominal distension,"Abdominal distension. Also known as: Abdo. bloating, Abdomen enlarged, Abdomen enlarged feeling of"
225,Thrombophlebitis,"Thrombophlebitis. Also known as: Thrombophlebitis, Thrombophlebitis arm, Thrombophlebitis leg"
226,Glossitis,"Glossitis. Also known as: Glossitis, Glossitis acute, Inflammation tongue"
227,Hypercholesterolaemia,"Hypercholesterolaemia. Also known as: Cholesterol blood excessive, Hypercholesteremia, Hypercholesterolaemia"
228,Vasculitis,"Vasculitis. Also known as: Angiitis, Digital vasculitis, Focal vasculitis"
229,Sleep disorder,"Sleep disorder. Also known as: Aftersleeping, Disorder sleep, Nonorganic sleep disorder, unspecified"
